task_id,model_cost,init_name,shape,dtype,num_elements,nbytes,init_class,is_permutation,is_row_bank,is_interval_table,is_mask_bank,is_template_bank,is_transform_bank,is_one_hot,one_hot_ratio,num_unique,value_range,sparsity,consumer_ops,downstream_chain,can_be_gather,can_be_formula,can_be_small_conv,decompilation_notes
task009,33147,v0,900x4,int64,3600,28800,row_bank_lookup,False,True,False,False,False,False,False,0.0,16,"[0,27]",0.3,GatherND,GatherND→Reshape→MatMul→MatMul→Transpose→MatMul→MatMul→Greater→Greater,False,False,False,
task255,58680,MEMB,465x30,float16,13950,27900,dense_binary_bank,False,False,False,True,False,False,False,0.0645,2,"[0.0,1.0]",0.6444,MatMul;Transpose,MatMul→Transpose→GreaterOrEqual→MatMul→MatMul→GreaterOrEqual→GreaterOrEqual→Cast→Cast→Cast,False,False,False,
task058,32257,table_f,16x1x20x20,float32,6400,25600,dense_binary_bank,False,False,False,True,False,False,False,0.05,2,"[0.0,1.0]",0.7475,Gather,Gather→Greater→And→Not→Concat,False,False,False,
task027,36154,zeros7,1x7x30x30,float32,6300,25200,sparse_binary_mask,False,False,False,True,False,False,False,0.0,1,"[0.0,0.0]",1.0,Concat,Concat,True,False,False,
task105,36364,zero_rest,1x7x30x30,float32,6300,25200,sparse_binary_mask,False,False,False,True,False,False,False,0.0,1,"[0.0,0.0]",1.0,Concat,Concat,True,False,False,
task233,661410,onnx::Gather_3047,3125,int64,3125,25000,interval_sequence,False,False,True,False,False,False,False,0.0,5,"[0,4]",0.2,Gather,Gather→Expand→Reshape→ScatterND,False,True,False,
task233,661410,onnx::Gather_3056,3125,int64,3125,25000,small_int_table,False,False,False,True,False,False,False,0.0,5,"[0,4]",0.2,Gather,Gather→Expand→Reshape→ScatterND,False,False,False,
task233,661410,onnx::Gather_3061,3125,int64,3125,25000,small_int_table,False,False,False,True,False,False,False,0.0,5,"[0,4]",0.2,Gather,Gather→Expand→Reshape→ScatterND,False,False,False,
task233,661410,onnx::Gather_3066,3125,int64,3125,25000,small_int_table,False,False,False,True,False,False,False,0.0,5,"[0,4]",0.2,Gather,Gather→Expand→Reshape→ScatterND,False,False,False,
task233,661410,onnx::Gather_3071,3125,int64,3125,25000,interval_sequence,False,False,True,False,False,False,False,0.0,5,"[0,4]",0.2,Gather,Gather→Expand→Reshape→ScatterND,False,True,False,
task233,661410,onnx::Gather_3079,3125,int64,3125,25000,unknown,False,False,False,False,False,False,False,0.0,25,"[0,24]",0.04,Gather,Gather→Equal→Cast→Mul,False,False,False,
task233,661410,onnx::Gather_3083,3125,int64,3125,25000,unknown,False,False,False,False,False,False,False,0.0,25,"[0,24]",0.04,Gather,Gather→Equal→Cast→Mul,False,False,False,
task233,661410,onnx::Gather_3087,3125,int64,3125,25000,unknown,False,False,False,False,False,False,False,0.0,25,"[0,24]",0.04,Gather,Gather→Equal→Cast→Mul,False,False,False,
task233,661410,onnx::Gather_3091,3125,int64,3125,25000,unknown,False,False,False,False,False,False,False,0.0,25,"[0,24]",0.04,Gather,Gather→Equal→Cast→Mul,False,False,False,
task233,661410,onnx::Gather_3095,3125,int64,3125,25000,unknown,False,False,False,False,False,False,False,0.0,25,"[0,24]",0.04,Gather,Gather→Equal→Cast→Mul,False,False,False,
task233,661410,onnx::Gather_3099,3125,int64,3125,25000,unknown,False,False,False,False,False,False,False,0.0,25,"[0,24]",0.04,Gather,Gather→Equal→Cast→Mul,False,False,False,
task233,661410,onnx::Gather_3103,3125,int64,3125,25000,unknown,False,False,False,False,False,False,False,0.0,25,"[0,24]",0.04,Gather,Gather→Equal→Cast→Mul,False,False,False,
task233,661410,onnx::Gather_3107,3125,int64,3125,25000,unknown,False,False,False,False,False,False,False,0.0,25,"[0,24]",0.04,Gather,Gather→Equal→Cast→Mul,False,False,False,
task233,661410,onnx::Gather_3111,3125,int64,3125,25000,unknown,False,False,False,False,False,False,False,0.0,25,"[0,24]",0.04,Gather,Gather→Equal→Cast→Mul,False,False,False,
task233,661410,onnx::Gather_3115,3125,int64,3125,25000,unknown,False,False,False,False,False,False,False,0.0,25,"[0,24]",0.04,Gather,Gather→Equal→Cast→Mul,False,False,False,
task099,24550,W,10x10x7x7,float32,4900,19600,unknown,False,False,False,False,False,False,False,0.0,4900,"[-4.686532974243164,9.0111665725708]",0.0,Conv,Conv,False,False,False,
task061,17726,label_bank,6x18x18,int64,1944,15552,small_int_table,False,False,False,True,False,False,False,0.0,9,"[1,9]",0.0,Gather,Gather→OneHot→Pad,False,False,False,
task324,18223,x_kernel,1x1x59x59,float32,3481,13924,dense_binary_bank,False,False,False,True,False,False,False,0.0169,2,"[0.0,1.0]",0.9664,ConvTranspose,ConvTranspose→Greater→Cast→Mul→Mul→Mul→Mul→Mul→Mul→Mul,False,False,False,
task233,661410,comborange,3125,float32,3125,12500,unknown,False,False,False,False,False,False,False,0.0,3125,"[0.0,3124.0]",0.0003,Where,Where→ReduceMin→Cast→Gather,False,False,False,
task076,17538,PermGatherIdx,8x169,int64,1352,10816,unknown,False,False,False,False,False,False,False,0.0,169,"[0,168]",0.0059,Gather,Gather→Gather→Gather→Greater→Greater→Greater→Cast→Cast→Cast→Unsqueeze,False,False,False,
task209,116524,ic_prior_2,15x8x21,float32,2520,10080,one_hot_selector,False,False,False,False,False,False,True,1.0,359,"[3.174502489855513e-05,0.9990453720092773]",0.0,Gather,Gather→Gather→Gather→Gather→Gather→Gather→Gather→Gather→Gather→Gather,True,False,False,
task209,116524,ic_prior_3,15x8x21,float32,2520,10080,one_hot_selector,False,False,False,False,False,False,True,1.0,198,"[1.7170033970614895e-05,0.9996179342269897]",0.0,Gather,Gather→Gather→Gather→Gather→Gather→Gather→Gather→Gather→Gather→Gather,True,False,False,
task209,116524,ic_prior_4,15x8x21,float32,2520,10080,one_hot_selector,False,False,False,False,False,False,True,1.0,109,"[3.977039159508422e-05,0.9992045760154724]",0.0,Gather,Gather→Gather→Gather→Gather→Gather→Gather→Gather→Gather→Gather→Gather,True,False,False,
task122,12550,W,10x10x5x5,float32,2500,10000,unknown,False,False,False,False,False,False,False,0.0,2500,"[-12.675426483154297,12.571468353271484]",0.0,Conv,Conv,False,False,False,
task344,12550,W,10x10x5x5,float32,2500,10000,unknown,False,False,False,False,False,False,False,0.0,2500,"[-9.133241653442383,11.960057258605957]",0.0,Conv,Conv,False,False,False,
task157,809080,expand_idx_983,1044,int64,1044,8352,interval_sequence,False,False,True,False,False,False,False,0.0,4,"[0,3]",0.25,Gather,Gather→Gather→Gather→Gather→Gather→Gather→Gather→Gather→Gather→Gather,False,True,False,
task209,116524,c1415,32x30,int64,960,7680,interval_grid,False,False,True,False,False,False,False,0.0,61,"[-31,29]",0.0312,Equal,Equal→Equal→Equal→Equal→Equal→Equal→Equal→Equal→Equal→Equal,False,True,False,
task209,116524,c1417,30x32,int64,960,7680,interval_grid,False,False,True,False,False,False,False,0.0,61,"[-31,29]",0.0312,Equal,Equal→Equal→Equal→Equal→Equal→Equal→Equal→Equal→Equal→Equal,False,True,False,
task019,16326,diffs,30x30,int64,900,7200,interval_grid,False,False,True,False,False,False,False,0.0,59,"[-29,29]",0.0333,Equal,Equal→Cast→MatMul→MatMul→MatMul→MatMul→Sum→Sum→Sum→Sum,False,True,False,
task019,16326,diffs_rc,30x30,int64,900,7200,interval_grid,False,False,True,False,False,False,False,0.0,59,"[-29,29]",0.0333,Equal,Equal→Cast→MatMul→MatMul→MatMul→Sum→MatMul→Sum,False,True,False,
task021,16652,row_grid,30x30,int64,900,7200,permutation_table,True,False,False,False,False,False,False,0.0,30,"[0,29]",0.0333,Less,Less→And→Where,True,False,False,
task021,16652,col_grid,30x30,int64,900,7200,permutation_table,True,False,False,False,False,False,False,0.0,30,"[0,29]",0.0333,Less,Less→And→Where,True,False,False,
task101,14360,/Constant_188_output_0,1x1x60x60,float16,3600,7200,sparse_binary_mask,False,False,False,True,False,False,False,0.0,1,"[0.0,0.0]",1.0,Conv,Conv→Cast→Less→Cast,True,False,False,
task209,116524,c65,30x30,int64,900,7200,interval_grid,False,False,True,False,False,False,False,0.0,59,"[-29,29]",0.0333,Equal,Equal→Equal→Equal→Equal→Equal→Equal→Equal→Equal→Equal→Equal,False,True,False,
task209,116524,c67,30x30,int64,900,7200,interval_grid,False,False,True,False,False,False,False,0.0,59,"[-29,29]",0.0333,Equal,Equal→Equal→Equal→Equal→Equal→Equal→Equal→Equal→Equal→Equal,False,True,False,
task284,19017,row_grid,1x1x30x30,int64,900,7200,permutation_table,True,False,False,False,False,False,False,0.0,30,"[0,29]",0.0333,Less;Greater;Equal,Equal→Less→Greater→Equal→Equal→Less→Greater→Equal→Less→Greater,True,False,False,
task284,19017,col_grid,1x1x30x30,int64,900,7200,permutation_table,True,False,False,False,False,False,False,0.0,30,"[0,29]",0.0333,Less;Greater;Equal,Less→Greater→Equal→Less→Greater→Less→Greater→Equal→Less→Greater,True,False,False,
task290,35612,out_r_grid,1x900,int64,900,7200,interval_grid,False,False,True,False,False,False,False,0.0,30,"[0,29]",0.0333,Less;Add,Less→Add→And→Mul→Add→Cast→And→And→Reshape→Mul,False,True,False,
task290,35612,out_c_grid,1x900,int64,900,7200,interval_grid,False,False,True,False,False,False,False,0.0,30,"[0,29]",0.0333,Less;Add,Less→Add→And→Add→Mul→Cast→And→And→Reshape→Mul,False,True,False,
task290,35612,thirty_grid,1x900,int64,900,7200,interval_grid,False,False,True,False,False,False,False,0.0,1,"[30,30]",0.0,Mul,Mul→Add→Mul→GatherElements→GatherElements,False,True,False,
task301,16567,row_grid,30x30,int64,900,7200,permutation_table,True,False,False,False,False,False,False,0.0,30,"[0,29]",0.0333,Less,Less→And→And→Cast→And→Greater,True,False,False,
task301,16567,col_grid,30x30,int64,900,7200,permutation_table,True,False,False,False,False,False,False,0.0,30,"[0,29]",0.0333,Less,Less→Less→Not→And→And→Cast→And→And→Greater,True,False,False,
task313,40857,row_grid,30x30,int64,900,7200,permutation_table,True,False,False,False,False,False,False,0.0,30,"[0,29]",0.0333,Less,Less→And→Where,True,False,False,
task313,40857,col_grid,30x30,int64,900,7200,permutation_table,True,False,False,False,False,False,False,0.0,30,"[0,29]",0.0333,Less,Less→And→Where,True,False,False,
task313,40857,t313_src_col2,30x30,int64,900,7200,interval_grid,False,False,True,False,False,False,False,0.0,2,"[1,2]",0.0,Where,Where→Add→Gather→Where,False,True,False,
task313,40857,t313_src_col3,30x30,int64,900,7200,interval_grid,False,False,True,False,False,False,False,0.0,3,"[1,3]",0.0,Where,Where→Add→Gather→Where,False,True,False,
task313,40857,t313_row_offset,30x30,int64,900,7200,interval_grid,False,False,True,False,False,False,False,0.0,2,"[0,30]",0.5,Add,Add→Gather→Where,False,True,False,
task366,260211,onnx::GatherElements_1364,900,int64,900,7200,interval_sequence,False,False,True,False,False,False,False,0.0,900,"[0,928]",0.0011,GatherElements,GatherElements→GatherElements→GatherElements→GatherElements→GatherElements→GatherElements→GatherElements→GatherElements→GatherElements→GatherElements,False,True,False,
task396,110040,out_r_grid,1x900,int64,900,7200,interval_grid,False,False,True,False,False,False,False,0.0,30,"[0,29]",0.0333,Less;Add,Less→Add→And→Mul→Add→Cast→And→And→Mul→Reshape,False,True,False,
task396,110040,out_c_grid,1x900,int64,900,7200,interval_grid,False,False,True,False,False,False,False,0.0,30,"[0,29]",0.0333,Less;Add,Less→Add→And→Add→Mul→Cast→And→And→Mul→Reshape,False,True,False,
task396,110040,thirty_grid,1x900,int64,900,7200,interval_grid,False,False,True,False,False,False,False,0.0,1,"[30,30]",0.0,Mul,Mul→Add→Mul→GatherElements,False,True,False,
task037,25086,identity_conv_sum_group_others_main_w,9x1x19x19,float16,3249,6498,sparse_one_hot,False,False,False,False,False,False,False,0.9474,2,"[0.0,1.0]",0.9501,Conv,Conv→Relu→Mul→Sum,True,False,False,
task037,25086,identity_conv_sum_group_others_anti_w,9x1x19x19,float16,3249,6498,sparse_one_hot,False,False,False,False,False,False,False,0.9474,2,"[0.0,1.0]",0.9501,Conv,Conv→Relu→Mul→Sum,True,False,False,
task059,12909,lines_const,1x10x11x11,float32,1210,4840,dense_binary_bank,False,False,False,True,False,False,False,0.0,2,"[0.0,1.0]",0.9669,Sum,Sum→Pad,False,False,False,
task059,12909,ch0_base_const,1x10x11x11,float32,1210,4840,dense_binary_bank,False,False,False,True,False,False,False,0.0,2,"[0.0,1.0]",0.9331,Sub,Sub→Sum→Pad,False,False,False,
task209,116524,c1410,20x30,int64,600,4800,interval_grid,False,False,True,False,False,False,False,0.0,49,"[-29,19]",0.0333,Equal,Equal→Equal→Equal→Equal→Equal→Equal→Equal→Equal→Equal→Equal,False,True,False,
task088,10824,diffs_rc_i,24x24,int64,576,4608,interval_grid,False,False,True,False,False,False,False,0.0,47,"[-23,23]",0.0417,Equal,Equal→Cast→MatMul→MatMul,False,True,False,
task088,10824,diffs_ij_i,24x24,int64,576,4608,interval_grid,False,False,True,False,False,False,False,0.0,47,"[-23,23]",0.0417,Equal,Equal→Cast→MatMul→Mul,False,True,False,
task157,809080,one_NPLACS_1015,1x1044,float32,1044,4176,dense_binary_bank,False,False,False,True,False,False,False,0.0,1,"[1.0,1.0]",0.0,Sub,Sub→Sub→Sub→Sub→Sub→Mul→Mul→Mul→Mul→Mul,False,False,False,
task363,193391,pr_bank,10x10x10,float32,1000,4000,sparse_one_hot,False,False,False,False,False,False,False,0.55,2,"[0.0,1.0]",0.945,Gather,Gather→Reshape→MatMul→MatMul,True,False,False,
task363,193391,pc_bank,10x10x10,float32,1000,4000,sparse_one_hot,False,False,False,False,False,False,False,0.55,2,"[0.0,1.0]",0.945,Gather,Gather→Reshape→MatMul→Reshape,True,False,False,
task159,12549,v18,1x10x14x14,float16,1960,3920,dense_binary_bank,False,False,False,True,False,False,False,0.0,2,"[0.0,1.0]",0.9735,Add,Add→Where→Sum→Pad,False,False,False,
task255,58680,up_idx,465,int64,465,3720,interval_sequence,False,False,True,False,False,False,False,0.0,29,"[0,28]",0.1269,Identity;Gather,Identity→Gather→Gather→Mul→Add→Mul→Add→Add,False,True,False,
task255,58680,dn_idx,465,int64,465,3720,unknown,False,False,False,False,False,False,False,0.0,29,"[1,29]",0.0,Identity;Gather,Identity→Gather→Gather→Mul→Mul→Add→Add→Add,False,False,False,
task277,29850,onnx::Conv_488,31x1x6x5,float32,930,3720,unknown,False,False,False,False,False,False,False,0.371,3,"[-1.0,1.0]",0.1333,Conv,Conv→Greater→Cast→ReduceSum→Mul→Mul,False,False,False,
task209,116524,ir_prior_2,11x4x21,float32,924,3696,one_hot_selector,False,False,False,False,False,False,True,1.0,127,"[1.3028580724494532e-05,0.9997393488883972]",0.0,Gather,Gather→Gather→Gather→Gather→Gather→Gather→Gather→Gather→Gather→Gather,True,False,False,
task209,116524,ir_prior_3,11x4x21,float32,924,3696,one_hot_selector,False,False,False,False,False,False,True,1.0,81,"[5.130459157953737e-06,0.9998974204063416]",0.0,Gather,Gather→Gather→Gather→Gather→Gather→Gather→Gather→Gather→Gather→Gather,True,False,False,
task209,116524,ir_prior_4,11x4x21,float32,924,3696,one_hot_selector,False,False,False,False,False,False,True,1.0,45,"[2.1635187295032665e-05,0.999562680721283]",0.0,Gather,Gather→Gather→Gather→Gather→Gather→Gather→Gather→Gather→Gather→Gather,True,False,False,
task027,36154,region_mask,1x1x30x30,float32,900,3600,dense_binary_bank,False,False,False,True,False,False,False,0.0,2,"[0.0,1.0]",0.8889,Sub;Mul,Mul→Sub→Sub→Sub→Concat→Concat,False,False,False,
task028,63050,top_pick,1x1x30x30,float32,900,3600,dense_binary_bank,False,False,False,True,False,False,False,0.0,2,"[0.0,1.0]",0.9889,Mul,Mul→ReduceSum→Mul→Mul,False,False,False,
task028,63050,bot_pick,1x1x30x30,float32,900,3600,dense_binary_bank,False,False,False,True,False,False,False,0.0,2,"[0.0,1.0]",0.9889,Mul,Mul→ReduceSum→Mul→Mul,False,False,False,
task028,63050,top_mask,1x1x30x30,float32,900,3600,dense_binary_bank,False,False,False,True,False,False,False,0.0,2,"[0.0,1.0]",0.9711,Mul,Mul→Add→Add,False,False,False,
task028,63050,bot_mask,1x1x30x30,float32,900,3600,dense_binary_bank,False,False,False,True,False,False,False,0.0,2,"[0.0,1.0]",0.9711,Mul,Mul→Add→Add,False,False,False,
task076,17538,score_base,30x30,float32,900,3600,unknown,False,False,False,False,False,False,False,0.0,900,"[11.0,910.0]",0.0,Mul,Mul→Reshape→TopK→Greater→Div→Mod,False,False,False,
task105,36364,one_grid,1x1x30x30,float32,900,3600,dense_binary_bank,False,False,False,True,False,False,False,0.0,1,"[1.0,1.0]",0.0,Sub,Sub→Sub→Mul→Mul→Concat→Sub→Concat,False,False,False,
task157,809080,active_30_1323,1x1x30x30,float32,900,3600,dense_binary_bank,False,False,False,True,False,False,False,0.0,2,"[0.0,1.0]",0.8333,Sub,Sub→Concat,False,False,False,
task157,809080,zero_pad_30_1328,1x1x30x30,float32,900,3600,sparse_binary_mask,False,False,False,True,False,False,False,0.0,1,"[0.0,0.0]",1.0,Concat,Concat→Concat→Concat→Concat→Concat→Concat→Concat,True,False,False,
task175,13760,diag_mask,1x1x30x30,float32,900,3600,sparse_one_hot,False,False,False,False,False,False,False,0.7,2,"[0.0,1.0]",0.9767,Mul,Mul→ReduceSum→Greater→Gather→Cast→Cast,True,False,False,
task175,13760,off_table,1x1x30x30,float32,900,3600,unknown,False,False,False,False,False,False,False,0.0,11,"[-1.0,9.0]",0.6289,Cast,Cast→Add→Mod→Add,False,False,False,
task175,13760,in_grid,1x1x30x30,float32,900,3600,dense_binary_bank,False,False,False,True,False,False,False,0.0,2,"[0.0,1.0]",0.51,Mul,Mul,False,False,False,
task209,116524,c10,1x1x30x30,float32,900,3600,unknown,False,False,False,False,False,False,False,0.0,30,"[0.0,29.0]",0.0333,LessOrEqual;Mul;Cast;GreaterOrEqual,Mul→Mul→Mul→GreaterOrEqual→LessOrEqual→Mul→Mul→Mul→Cast→Cast,False,False,False,
task209,116524,c11,1x1x30x30,float32,900,3600,unknown,False,False,False,False,False,False,False,0.0,30,"[0.0,29.0]",0.0333,LessOrEqual;Mul;Cast;GreaterOrEqual,Mul→Mul→GreaterOrEqual→LessOrEqual→Mul→Mul→Mul→Cast→Cast→Cast,False,False,False,
task209,116524,c735,15x30,int64,450,3600,interval_grid,False,False,True,False,False,False,False,0.0,44,"[-29,14]",0.0333,Equal,Equal→Equal→Equal→Equal→Equal→Equal→Equal→Equal→Equal→Equal,False,True,False,
task219,16894,lower_tri,30x30,float32,900,3600,dense_binary_bank,False,False,False,True,False,False,False,0.0333,2,"[0.0,1.0]",0.4833,MatMul,MatMul→Mul→Unsqueeze→Sub,False,False,False,
task219,16894,/Constant_215_output_0,1x30x30,float32,900,3600,sparse_binary_mask,False,False,False,True,False,False,False,0.0,1,"[0.0,0.0]",1.0,ScatterElements,ScatterElements→ScatterElements→ScatterElements→ScatterElements→ScatterElements→Greater→Greater→Greater→Greater→Greater,True,False,False,
task285,10215,coord_labels,1x1x30x30,float32,900,3600,unknown,False,False,False,False,False,False,False,0.0,900,"[1.0,900.0]",0.0,Mul,Mul→MaxPool→Mul→MaxPool,False,False,False,
task285,10215,zero_paint,1x1x30x30,float32,900,3600,sparse_binary_mask,False,False,False,True,False,False,False,0.0,1,"[0.0,0.0]",1.0,Concat,Concat→ReduceSum→Add→Greater→Cast,True,False,False,
task366,260211,/Constant_22_output_0,30x30,float32,900,3600,sparse_one_hot,False,False,False,False,False,False,False,0.9667,2,"[0.0,1.0]",0.9678,MatMul,MatMul→MatMul→MatMul→MatMul→MatMul→MatMul→MatMul→MatMul→MatMul→MatMul,True,False,False,
task366,260211,/Constant_23_output_0,30x30,float32,900,3600,sparse_one_hot,False,False,False,False,False,False,False,0.9667,2,"[0.0,1.0]",0.9678,MatMul,MatMul→MatMul→MatMul→MatMul→MatMul→MatMul→MatMul→MatMul→MatMul→MatMul,True,False,False,
task366,260211,/Constant_284_output_0,30x30,float32,900,3600,sparse_binary_mask,False,False,False,True,False,False,False,0.0,1,"[0.0,0.0]",1.0,Add,Add→Add→Add→Add→Add→Add→Add→Add→Add→Add,True,False,False,
task366,260211,/Constant_428_output_0,30x30,float32,900,3600,unknown,False,False,False,False,False,False,False,0.0,30,"[0.0,29.0]",0.0333,Add,Add→Add→Add→Add→Clip→Clip→Clip→Clip→Mul→Mul,False,False,False,
task366,260211,/Constant_430_output_0,30x30,float32,900,3600,unknown,False,False,False,False,False,False,False,0.0,30,"[0.0,29.0]",0.0333,Add,Add→Add→Add→Add→Add→Add→Add→Add→Clip→Reshape,False,False,False,
task366,260211,/Constant_436_output_0,30x30,float32,900,3600,unknown,False,False,False,False,False,False,False,0.0,30,"[0.0,899.0]",0.0333,Add,Add→Add→Add→Add→Reshape→Reshape→Reshape→Reshape→Cast→Cast,False,False,False,
task366,260211,/Constant_865_output_0,1x30x30,float32,900,3600,sparse_binary_mask,False,False,False,True,False,False,False,0.0,1,"[0.0,0.0]",1.0,Concat,Concat→Concat→Concat→Concat→Concat→Concat→Concat→Concat→Concat→Concat,True,False,False,
task367,219324,full_mask,1x1x30x30,float32,900,3600,dense_binary_bank,False,False,False,True,False,False,False,0.0,1,"[1.0,1.0]",0.0,Mul,Mul→Sub→Add→Mul→Concat→Concat,False,False,False,
task382,54738,v8,30x30,float32,900,3600,dense_binary_bank,False,False,False,True,False,False,False,0.0333,2,"[0.0,1.0]",0.4833,MatMul,MatMul→MatMul→MatMul→MatMul→Reshape→Reshape→Reshape→Reshape→Mul→Mul,False,False,False,
task382,54738,v9,30x30,float32,900,3600,dense_binary_bank,False,False,False,True,False,False,False,0.0333,2,"[0.0,1.0]",0.4833,MatMul,MatMul→MatMul→MatMul→MatMul→Reshape→Reshape→Reshape→Reshape→Mul→Mul,False,False,False,
task382,54738,v20,30x30,float32,900,3600,sparse_one_hot,False,False,False,False,False,False,False,0.8667,2,"[0.0,1.0]",0.9711,MatMul,MatMul→MatMul→MatMul→MatMul→Reshape→Reshape→Reshape→Reshape→Where→Where,True,False,False,
task382,54738,v21,30x30,float32,900,3600,sparse_one_hot,False,False,False,False,False,False,False,0.9,2,"[0.0,1.0]",0.97,MatMul,MatMul→MatMul→MatMul→MatMul→Reshape→Reshape→Reshape→Reshape→Where→Where,True,False,False,
task382,54738,v22,30x30,float32,900,3600,sparse_one_hot,False,False,False,False,False,False,False,0.9333,2,"[0.0,1.0]",0.9689,MatMul,MatMul→MatMul→MatMul→MatMul→Reshape→Reshape→Reshape→Reshape→Where→Where,True,False,False,
task382,54738,v23,30x30,float32,900,3600,sparse_one_hot,False,False,False,False,False,False,False,0.9667,2,"[0.0,1.0]",0.9678,MatMul,MatMul→MatMul→MatMul→MatMul→Reshape→Reshape→Reshape→Reshape→Where→Where,True,False,False,
task382,54738,v24,30x30,float32,900,3600,one_hot_selector,False,False,False,False,False,False,True,1.0,2,"[0.0,1.0]",0.9667,MatMul,MatMul→MatMul→MatMul→MatMul→Reshape→Reshape→Reshape→Reshape→Where→Where,True,False,False,
task382,54738,v25,30x30,float32,900,3600,sparse_one_hot,False,False,False,False,False,False,False,0.9667,2,"[0.0,1.0]",0.9678,MatMul,MatMul→MatMul→MatMul→MatMul→Reshape→Reshape→Reshape→Reshape→Where→Where,True,False,False,
task382,54738,v26,30x30,float32,900,3600,sparse_one_hot,False,False,False,False,False,False,False,0.9333,2,"[0.0,1.0]",0.9689,MatMul,MatMul→MatMul→MatMul→MatMul→Reshape→Reshape→Reshape→Reshape→Where→Where,True,False,False,
task382,54738,v27,30x30,float32,900,3600,sparse_one_hot,False,False,False,False,False,False,False,0.9,2,"[0.0,1.0]",0.97,MatMul,MatMul→MatMul→MatMul→MatMul→Reshape→Reshape→Reshape→Reshape→Where→Where,True,False,False,
task382,54738,v28,30x30,float32,900,3600,sparse_one_hot,False,False,False,False,False,False,False,0.8667,2,"[0.0,1.0]",0.9711,MatMul,MatMul→MatMul→MatMul→MatMul→Reshape→Reshape→Reshape→Reshape→Where→Where,True,False,False,
task382,54738,v29,1x1x30x30,float32,900,3600,sparse_binary_mask,False,False,False,True,False,False,False,0.0,1,"[0.0,0.0]",1.0,Concat,Concat→Concat→Concat→Concat→Concat→Concat→Concat,True,False,False,
task392,11286,v7,1x1x30x30,float32,900,3600,sparse_binary_mask,False,False,False,True,False,False,False,0.0,1,"[0.0,0.0]",1.0,Concat,Concat,True,False,False,
