task_id,status,num_train_cases,input_shapes,output_shapes,shape_relation,color_relation,changed_cells_total,top_failure_reason,reason_family
task202,failed,4,13x15 14x13 14x15 15x19,13x15 14x13 14x15 15x19,variable_shapes,same_color_set,56,input_output_not_identical,other
task203,failed,4,6x6 8x8 10x10 12x12,6x6 8x8 10x10 12x12,variable_shapes,same_color_set,312,input_output_not_identical,other
task204,failed,5,10x10 11x11 15x15 20x20,10x10 11x11 15x15 20x20,variable_shapes,output_superset_colors,176,input_output_not_identical,other
task205,failed,3,16x17 17x23 27x23,6x8 7x6 10x9,variable_shapes,output_subset_colors,0,output_size_differs_from_input_size,shape
task206,failed,3,8x7 9x9 10x8,8x7 9x9 10x8,variable_shapes,output_subset_colors,19,input_output_not_identical,other
task208,failed,3,21x21,21x21,same_size,same_color_set,46,input_output_not_identical,other
task209,failed,3,16x18 17x17 17x18,7x7 9x14 11x11,variable_shapes,same_color_set,0,output_size_differs_from_input_size,shape
task211,failed,3,3x2,9x4,integer_scale_or_tile,same_color_set,0,output_size_differs_from_input_size,shape
task212,failed,2,10x10,10x10,same_size,same_color_set,24,input_output_not_identical,other
task213,failed,3,12x10 12x12 18x15,3x3 4x4 6x6,variable_shapes,output_subset_colors,0,output_size_differs_from_input_size,shape
task214,failed,3,3x11,3x11,same_size,output_subset_colors,54,input_output_not_identical,other
task215,failed,2,10x12 15x19,10x12 15x19,variable_shapes,same_color_set,154,input_output_not_identical,other
task216,failed,3,20x20,5x6 5x17 9x9,variable_shapes,output_subset_colors,0,output_size_differs_from_input_size,shape
task217,failed,3,9x9,9x9,same_size,same_color_set,44,input_output_not_identical,other
task218,failed,3,21x21,2x2 3x2 3x3,variable_shapes,output_subset_colors,0,output_size_differs_from_input_size,shape
task219,failed,3,15x10,15x10,same_size,output_superset_colors,46,input_output_not_identical,other
task220,failed,4,6x6 12x12 16x16,6x6 12x12 16x16,variable_shapes,output_superset_colors,56,input_output_not_identical,other
task221,failed,4,3x3,9x9 12x12 15x15 18x18,variable_shapes,same_color_set,0,output_size_differs_from_input_size,shape
task222,failed,3,16x16,16x16,same_size,output_subset_colors,237,input_output_not_identical,other
task224,failed,3,12x13 15x13 15x14,12x13 15x13 15x14,variable_shapes,same_color_set,100,input_output_not_identical,other
task225,failed,3,6x6,6x6,same_size,same_color_set,41,input_output_not_identical,other
task226,failed,3,10x10,10x10,same_size,output_superset_colors,42,input_output_not_identical,other
task227,failed,4,8x4,4x4,shrinks_or_crop,changed_color_set,0,output_size_differs_from_input_size,shape
task228,failed,3,10x10,10x10,same_size,same_color_set,24,input_output_not_identical,other
task229,failed,4,3x3,3x3,same_size,changed_color_set,17,input_output_not_identical,other
task230,failed,3,10x10 15x15,10x10 15x15,variable_shapes,output_superset_colors,28,input_output_not_identical,other
task231,failed,3,5x6 5x7 5x8,5x12 5x14 5x16,variable_shapes,same_color_set,0,output_size_differs_from_input_size,shape
task232,failed,3,7x8 10x8 10x12,7x8 10x8 10x12,variable_shapes,output_superset_colors,37,input_output_not_identical,other
task233,failed,3,16x12 20x10 24x19,8x8 9x9 17x9,variable_shapes,output_subset_colors,0,output_size_differs_from_input_size,shape
task234,failed,3,13x18 15x19 17x14,13x18 15x19 17x14,variable_shapes,same_color_set,97,input_output_not_identical,other
task235,failed,4,4x14,3x3,shrinks_or_crop,changed_color_set,0,output_size_differs_from_input_size,shape
task237,failed,4,3x3 6x6 7x5,3x3 6x6 7x5,variable_shapes,same_color_set,31,input_output_not_identical,other
task238,failed,3,14x16 15x15 15x16,5x5 6x6,variable_shapes,same_color_set,0,output_size_differs_from_input_size,shape
task239,failed,4,3x3 3x4 4x3,5x3 5x4 6x3 6x4,variable_shapes,output_superset_colors,0,output_size_differs_from_input_size,shape
task240,failed,3,19x19,19x19,same_size,same_color_set,91,input_output_not_identical,other
task241,failed,3,3x3 4x4 5x5,3x3 4x4 5x5,variable_shapes,same_color_set,18,input_output_not_identical,other
task242,failed,3,16x16,3x3,shrinks_or_crop,output_subset_colors,0,output_size_differs_from_input_size,shape
task243,failed,3,13x13 15x15 16x16,13x13 15x15 16x16,variable_shapes,same_color_set,255,input_output_not_identical,other
task244,failed,3,11x11 19x19,3x3 4x4,variable_shapes,same_color_set,0,output_size_differs_from_input_size,shape
task245,failed,4,7x7 9x8 9x9 9x10,7x7 9x8 9x9 9x10,variable_shapes,same_color_set,58,input_output_not_identical,other
task246,failed,3,10x16 12x14 15x15,10x16 12x14 15x15,variable_shapes,output_superset_colors,47,input_output_not_identical,other
task247,failed,6,10x10,3x1 3x2 3x3 5x1 5x3 9x2,variable_shapes,output_subset_colors,0,output_size_differs_from_input_size,shape
task248,failed,3,10x2 10x3 10x4,10x2 10x3 10x4,variable_shapes,same_color_set,27,input_output_not_identical,other
task249,failed,3,3x3 4x3 4x4,3x6 4x6 4x8,variable_shapes,same_color_set,0,output_size_differs_from_input_size,shape
task250,failed,2,10x10,10x10,same_size,same_color_set,14,input_output_not_identical,other
task252,failed,3,3x3 6x6 8x8,3x3 6x6 8x8,variable_shapes,output_superset_colors,9,input_output_not_identical,other
task253,failed,2,13x13,4x4,shrinks_or_crop,same_color_set,0,output_size_differs_from_input_size,shape
task254,failed,2,9x9,9x9,same_size,changed_color_set,52,input_output_not_identical,other
task255,failed,3,30x30,30x30,same_size,output_superset_colors,802,input_output_not_identical,other
task256,failed,3,7x7 7x9 8x9,7x7 7x9 8x9,variable_shapes,output_superset_colors,48,input_output_not_identical,other
task257,failed,6,9x9,4x4,shrinks_or_crop,output_subset_colors,0,output_size_differs_from_input_size,shape
task260,failed,3,10x10,10x10,same_size,output_subset_colors,48,input_output_not_identical,other
task261,failed,3,3x3 5x5,3x3 5x5,variable_shapes,changed_color_set,14,input_output_not_identical,other
task262,failed,4,3x3,3x3,same_size,changed_color_set,36,input_output_not_identical,other
task263,failed,4,3x12 3x15 9x3 12x3,3x3,variable_shapes,output_subset_colors,0,output_size_differs_from_input_size,shape
task264,failed,2,14x14 16x14,9x9,variable_shapes,output_subset_colors,0,output_size_differs_from_input_size,shape
task265,failed,3,18x18,18x18,same_size,output_superset_colors,62,input_output_not_identical,other
task266,failed,4,3x5,3x5,same_size,changed_color_set,15,input_output_not_identical,other
task268,failed,3,6x6 7x7 9x9,6x6 7x7 9x9,variable_shapes,output_superset_colors,68,input_output_not_identical,other
task269,failed,3,3x3,6x6 9x9 15x15,variable_shapes,same_color_set,0,output_size_differs_from_input_size,shape
task270,failed,3,15x15,15x15,same_size,same_color_set,38,input_output_not_identical,other
task271,failed,4,9x9,3x3,shrinks_or_crop,output_subset_colors,0,output_size_differs_from_input_size,shape
task273,failed,3,10x10,10x10,same_size,output_superset_colors,26,input_output_not_identical,other
task274,failed,6,5x6 6x6 7x7 9x9,3x3,variable_shapes,output_subset_colors,0,output_size_differs_from_input_size,shape
task275,failed,3,3x6 4x8,9x9 16x16,variable_shapes,output_subset_colors,0,output_size_differs_from_input_size,shape
task277,failed,3,10x10,10x10,same_size,changed_color_set,68,input_output_not_identical,other
task278,failed,2,15x16 15x18,15x16 15x18,variable_shapes,output_superset_colors,29,input_output_not_identical,other
task279,failed,4,9x11 12x11 12x13 14x15,9x11 12x11 12x13 14x15,variable_shapes,output_superset_colors,90,input_output_not_identical,other
task280,failed,4,10x10 20x20,10x10 20x20,variable_shapes,same_color_set,351,input_output_not_identical,other
task281,failed,3,11x11 13x12,11x11 13x12,variable_shapes,output_subset_colors,73,input_output_not_identical,other
task282,failed,2,9x9,9x9,same_size,output_superset_colors,63,input_output_not_identical,other
task283,failed,2,10x10,10x10,same_size,changed_color_set,90,input_output_not_identical,other
task284,failed,3,10x13 10x18 14x10,10x13 10x18 14x10,variable_shapes,same_color_set,60,input_output_not_identical,other
task285,failed,3,14x14 20x20 30x30,14x14 20x20 30x30,variable_shapes,same_color_set,81,input_output_not_identical,other
task286,failed,2,11x24 13x14,11x24 13x14,variable_shapes,same_color_set,92,input_output_not_identical,other
task288,failed,4,3x3 5x5 7x7,3x3 5x5 7x7,variable_shapes,same_color_set,12,input_output_not_identical,other
task289,failed,5,3x3,6x6 9x9 12x12,variable_shapes,same_color_set,0,output_size_differs_from_input_size,shape
task292,failed,5,3x10 3x11 3x13 3x14,3x10 3x11 3x13 3x14,variable_shapes,output_superset_colors,44,input_output_not_identical,other
task293,failed,4,7x9 8x6 8x7 13x13,7x9 8x6 8x7 13x13,variable_shapes,same_color_set,10,input_output_not_identical,other
task295,failed,5,1x6 1x8 1x10,3x6 4x8 5x10,variable_shapes,same_color_set,0,output_size_differs_from_input_size,shape
task296,failed,5,5x7,3x3,shrinks_or_crop,same_color_set,0,output_size_differs_from_input_size,shape
task297,failed,3,6x2 8x3 10x4,6x2 8x3 10x4,variable_shapes,output_subset_colors,58,input_output_not_identical,other
task298,failed,3,6x6 8x8,6x6 8x8,variable_shapes,same_color_set,136,input_output_not_identical,other
task299,failed,2,6x6,6x6,same_size,output_superset_colors,14,input_output_not_identical,other
task300,failed,4,5x10 6x11 7x9 7x13,3x2 3x3 4x3,variable_shapes,output_subset_colors,0,output_size_differs_from_input_size,shape
task301,failed,3,3x3 7x4 10x7,3x3 7x4 10x7,variable_shapes,same_color_set,49,input_output_not_identical,other
task302,failed,3,12x12,12x12,same_size,output_superset_colors,41,input_output_not_identical,other
task303,failed,3,12x14 12x19 17x15,12x14 12x19 17x15,variable_shapes,output_superset_colors,99,input_output_not_identical,other
task304,failed,3,3x3,9x9,integer_scale_or_tile,output_superset_colors,0,output_size_differs_from_input_size,shape
task305,failed,3,16x16,16x16,same_size,output_subset_colors,122,input_output_not_identical,other
task306,failed,2,19x9 19x19,19x9 19x19,variable_shapes,same_color_set,40,input_output_not_identical,other
task308,failed,3,10x8 12x11 12x14,3x3 5x5,variable_shapes,same_color_set,0,output_size_differs_from_input_size,shape
task310,failed,3,24x24 26x26 28x28,7x7,variable_shapes,output_subset_colors,0,output_size_differs_from_input_size,shape
task312,failed,2,12x12,12x12,same_size,output_subset_colors,111,input_output_not_identical,other
task313,failed,3,6x6 8x8 11x11,6x6 8x8 11x11,variable_shapes,output_subset_colors,221,input_output_not_identical,other
