task_id,valid,model_path,estimated_cost,file_size_bytes,failure_reason,selected_for_zip
task340,True,outputs\onnx\task340.onnx,949,6593,,True
task341,True,outputs\onnx\task341.onnx,2549,11979,,True
task342,True,outputs\onnx\task342.onnx,1258,4815,,True
task343,True,outputs\onnx\task343.onnx,2597,7569,,True
task344,True,outputs\onnx\task344.onnx,12605,10617,,True
task345,True,outputs\onnx\task345.onnx,4741,6721,,True
task346,True,outputs\onnx\task346.onnx,641,2236,,True
task347,True,outputs\onnx\task347.onnx,339,1369,,True
task348,True,outputs\onnx\task348.onnx,463,3000,,True
task349,True,outputs\onnx\task349.onnx,258,8755,,True
task350,True,outputs\onnx\task350.onnx,1473,2670,,True
task351,True,outputs\onnx\task351.onnx,354,3049,,True
task352,True,outputs\onnx\task352.onnx,234,1398,,True
task353,True,outputs\onnx\task353.onnx,745,3244,,True
task354,True,outputs\onnx\task354.onnx,1335,4335,,True
task355,True,outputs\onnx\task355.onnx,1057,4506,,True
task356,True,outputs\onnx\task356.onnx,394,2344,,True
task357,True,outputs\onnx\task357.onnx,270,2328,,True
task358,True,outputs\onnx\task358.onnx,1446,10944,,True
task359,True,outputs\onnx\task359.onnx,840,3909,,True
task360,True,outputs\onnx\task360.onnx,320,1399,,True
task361,True,outputs\onnx\task361.onnx,2337,6930,,True
task362,True,outputs\onnx\task362.onnx,804,2814,,True
task363,True,outputs\onnx\task363.onnx,193941,170389,,True
task364,True,outputs\onnx\task364.onnx,1572,8082,,True
task365,True,outputs\onnx\task365.onnx,627,17605,,True
task366,True,outputs\onnx\task366.onnx,266691,1269927,,True
task367,True,outputs\onnx\task367.onnx,200585,452057,,True
task368,True,outputs\onnx\task368.onnx,511,14770,,True
task369,True,outputs\onnx\task369.onnx,2717,4692,,True
task370,True,outputs\onnx\task370.onnx,5221,37248,,True
task371,True,outputs\onnx\task371.onnx,557,2475,,True
task372,True,outputs\onnx\task372.onnx,270,1328,,True
task373,True,outputs\onnx\task373.onnx,239,988,,True
task374,True,outputs\onnx\task374.onnx,2091,16450,,True
task375,True,outputs\onnx\task375.onnx,367,2214,,True
task376,True,outputs\onnx\task376.onnx,343,2344,,True
task377,True,outputs\onnx\task377.onnx,7019,19220,,True
task378,True,outputs\onnx\task378.onnx,2524,10496,,True
task379,True,outputs\onnx\task379.onnx,5370,10260,,True
task380,True,outputs\onnx\task380.onnx,149,531,,True
task381,True,outputs\onnx\task381.onnx,4709,5721,,True
task382,True,outputs\onnx\task382.onnx,54738,65997,,True
task383,True,outputs\onnx\task383.onnx,2829,6805,,True
task384,True,outputs\onnx\task384.onnx,1215,4542,,True
task385,True,outputs\onnx\task385.onnx,270,175,,True
task386,True,outputs\onnx\task386.onnx,339,1471,,True
task387,True,outputs\onnx\task387.onnx,17344,89870,,True
task388,True,outputs\onnx\task388.onnx,1515,6368,,True
task389,True,outputs\onnx\task389.onnx,250,1421,,True
task390,True,outputs\onnx\task390.onnx,5249,7851,,True
task391,True,outputs\onnx\task391.onnx,245,2841,,True
task392,True,outputs\onnx\task392.onnx,11286,13503,,True
task393,True,outputs\onnx\task393.onnx,245,2433,,True
task394,True,outputs\onnx\task394.onnx,311,5312,,True
task395,True,outputs\onnx\task395.onnx,339,1479,,True
task396,True,outputs\onnx\task396.onnx,6009,50393,,True
task397,True,outputs\onnx\task397.onnx,1099,7101,,True
task398,True,outputs\onnx\task398.onnx,6786,8768,,True
task399,True,outputs\onnx\task399.onnx,2144,1907,,True
task400,True,outputs\onnx\task400.onnx,345,3021,,True
